date,fips,cases,deaths
2020-04-15,1001.0,25,1
2020-04-15,1003.0,98,2
2020-04-15,1005.0,13,0
2020-04-15,1007.0,19,0
2020-04-15,1009.0,17,0
2020-04-15,1011.0,8,0
2020-04-15,1013.0,11,0
2020-04-15,1015.0,62,0
2020-04-15,1017.0,227,10
2020-04-15,1019.0,10,0
2020-04-15,1021.0,37,0
2020-04-15,1023.0,13,0
2020-04-15,1025.0,22,0
2020-04-15,1027.0,14,0
2020-04-15,1029.0,12,0
2020-04-15,1031.0,43,0
2020-04-15,1033.0,11,1
2020-04-15,1035.0,6,0
2020-04-15,1037.0,20,1
2020-04-15,1039.0,18,0
2020-04-15,1041.0,4,0
2020-04-15,1043.0,40,1
2020-04-15,1045.0,13,0
2020-04-15,1047.0,22,2
2020-04-15,1049.0,31,0
2020-04-15,1051.0,49,0
2020-04-15,1053.0,11,0
2020-04-15,1055.0,84,8
2020-04-15,1057.0,4,0
2020-04-15,1059.0,17,1
2020-04-15,1061.0,2,0
2020-04-15,1063.0,19,0
2020-04-15,1065.0,20,0
2020-04-15,1067.0,15,0
2020-04-15,1069.0,55,3
2020-04-15,1071.0,31,2
2020-04-15,1073.0,628,17
2020-04-15,1075.0,7,0
2020-04-15,1077.0,22,4
2020-04-15,1079.0,8,0
2020-04-15,1081.0,285,12
2020-04-15,1083.0,38,0
2020-04-15,1085.0,23,0
2020-04-15,1087.0,19,2
2020-04-15,1089.0,194,4
2020-04-15,1091.0,24,1
2020-04-15,1093.0,58,4
2020-04-15,1095.0,109,2
2020-04-15,1097.0,561,19
2020-04-15,1099.0,7,1
2020-04-15,1101.0,189,5
2020-04-15,1103.0,44,0
2020-04-15,1105.0,7,0
2020-04-15,1107.0,30,0
2020-04-15,1109.0,27,0
2020-04-15,1111.0,45,4
2020-04-15,1113.0,31,0
2020-04-15,1117.0,241,7
2020-04-15,1115.0,49,0
2020-04-15,1119.0,30,0
2020-04-15,1121.0,40,1
2020-04-15,1123.0,149,7
2020-04-15,1125.0,131,0
2020-04-15,1127.0,85,0
2020-04-15,1129.0,12,1
2020-04-15,1131.0,38,0
2020-04-15,1133.0,7,0
2020-04-15,2020.0,139,4
2020-04-15,2050.0,1,0
2020-04-15,2090.0,79,2
2020-04-15,2110.0,21,0
2020-04-15,2122.0,15,0
2020-04-15,2130.0,15,0
2020-04-15,2170.0,15,1
2020-04-15,2180.0,1,0
2020-04-15,2195.0,1,0
2020-04-15,2198.0,2,0
2020-04-15,2240.0,1,0
2020-04-15,2290.0,1,0
2020-04-15,4001.0,110,4
2020-04-15,4003.0,15,0
2020-04-15,4005.0,266,24
2020-04-15,4007.0,3,0
2020-04-15,4009.0,2,0
2020-04-15,4011.0,2,0
2020-04-15,4012.0,5,1
2020-04-15,4013.0,2146,60
2020-04-15,4015.0,45,2
2020-04-15,4017.0,390,10
2020-04-15,4019.0,700,34
2020-04-15,4021.0,182,5
2020-04-15,4023.0,12,0
2020-04-15,4025.0,66,1
2020-04-15,4027.0,18,1
2020-04-15,5001.0,2,0
2020-04-15,5003.0,11,0
