,date,cases,NewCases,deaths
0,1/21/2020,1,1,0
1,1/22/2020,1,0,0
2,1/23/2020,1,0,0
3,1/24/2020,2,1,0
4,1/25/2020,3,1,0
5,1/26/2020,5,2,0
6,1/27/2020,5,0,0
7,1/28/2020,5,0,0
8,1/29/2020,5,0,0
9,1/30/2020,6,1,0
10,1/31/2020,7,1,0
11,2/1/2020,8,1,0
12,2/2/2020,11,3,0
13,2/3/2020,11,0,0
14,2/4/2020,11,0,0
15,2/5/2020,12,1,0
16,2/6/2020,12,0,0
17,2/7/2020,12,0,0
18,2/8/2020,12,0,0
19,2/9/2020,12,0,0
20,2/10/2020,13,1,0
21,2/11/2020,13,0,0
22,2/12/2020,14,1,0
23,2/13/2020,15,1,0
24,2/14/2020,15,0,0
25,2/15/2020,15,0,0
26,2/16/2020,15,0,0
27,2/17/2020,25,10,0
28,2/18/2020,25,0,0
29,2/19/2020,25,0,0
30,2/20/2020,27,2,0
31,2/21/2020,30,3,0
32,2/22/2020,30,0,0
33,2/23/2020,30,0,0
34,2/24/2020,43,13,0
35,2/25/2020,45,2,0
36,2/26/2020,60,15,0
37,2/27/2020,60,0,0
38,2/28/2020,65,5,0
39,2/29/2020,70,5,1
40,3/1/2020,88,18,3
41,3/2/2020,104,16,6
42,3/3/2020,125,21,10
43,3/4/2020,161,36,12
44,3/5/2020,228,67,12
45,3/6/2020,311,83,15
46,3/7/2020,428,117,19
47,3/8/2020,547,119,22
48,3/9/2020,748,201,26
49,3/10/2020,1018,270,31
50,3/11/2020,1263,245,37
51,3/12/2020,1668,405,43
52,3/13/2020,2224,556,50
53,3/14/2020,2898,674,60
54,3/15/2020,3600,702,68
55,3/16/2020,4507,907,91
56,3/17/2020,5905,1398,116
57,3/18/2020,8345,2440,157
58,3/19/2020,12384,4039,203
59,3/20/2020,17999,5615,264
60,3/21/2020,24511,6512,343
61,3/22/2020,33050,8539,435
62,3/23/2020,43476,10426,550
63,3/24/2020,54139,10663,746
64,3/25/2020,68739,14600,999
65,3/26/2020,85578,16839,1279
66,3/27/2020,102905,17327,1651
67,3/28/2020,123802,20897,2138
68,3/29/2020,142183,18381,2413
69,3/30/2020,163602,21419,2903
70,3/31/2020,187961,24359,3631
71,4/1/2020,215013,27052,4551
72,4/2/2020,244007,28994,5502
73,4/3/2020,276201,32194,7136
74,4/4/2020,310840,34639,8503
75,4/5/2020,336405,25565,9658
76,4/6/2020,369756,33351,11708
77,4/7/2020,397746,27990,12960
78,4/8/2020,429280,31534,14783
79,4/9/2020,463689,34409,16680
80,4/10/2020,496906,33217,18714
81,4/11/2020,528414,31508,20578
82,4/12/2020,555330,26916,22057
83,4/13/2020,580900,25570,23608
84,4/14/2020,607291,26391,26081
85,4/15/2020,636879,29588,28585
86,4/16/2020,668614,31735,30791
87,4/17/2020,699863,31249,32886
88,4/18/2020,728099,28236,34726
89,4/19/2020,753319,25220,36109
90,4/20/2020,780443,27124,37795
91,4/21/2020,805773,25330,40316
92,4/22/2020,833492,27719,42498
93,4/23/2020,867276,33784,44518
94,4/24/2020,904606,37330,46503
95,4/25/2020,938758,34152,48334
96,4/26/2020,965217,26459,49464
97,4/27/2020,988149,22932,50836
98,4/28/2020,1012767,24618,53034
99,4/29/2020,1039168,26401,55399
100,4/30/2020,1069561,30393,57570
101,5/1/2020,1103545,33984,59392
102,5/2/2020,1133143,29598,61079
103,5/3/2020,1158656,25513,62140
