fips,fips2,health rank,population,pop_area_est,density,pop_ranked,pop_scaled,density_ranked,density_scaled, TOT_MALE,TOT_FEMALE,%  TOT_MALE,% TOT_FEMALE,maleness_ranked,maleness_scaled,% over 70,Rank over 70,scale over 70,% Age 0 to 29 years,% Age 30 to 39,% Age 40 to 49 years,% Age 50 to 59 years,% Age 60 to 69 years,% Age 70 to 79,% Age 80 to 85+,"Poverty, total","Poverty, %",Poverty_ranked,Poverty_scaled,Median_Income,Income_ranked,Income_scaled,% using transportation,Apr11_Cases,Apr11_Deaths,Apr11_cases_rank,Apr11_cases_scale,Apr11_deaths_rank,Apr11_deaths_scale,County ,State,Apr18_Cases,Apri18_Deaths,Apr18_cases_ranked,Apr_18_cases_scaled,Apr18_deaths_ranked,Apr_18_deaths_scaled,lat,lng
01001,1001,2,57046,1512.03,37.73,2216,8,2191,8,26995,28606,48.55128505,51.44871495,475,2,10.90627866,763,3,38.31226057,12.74977069,13.63644539,13.91701588,10.47822881,7.284041654,3.62223701,"7,587",13.8,1462,5,"59,338",2380,8,,19,1,1577,7,1619,7,Autauga,Alabama,25,2,1621,6,1910,8,32.45322,-86.72385
01003,1003,3,207694,4077.05,50.94,2783,9,2367,8,105657,112365,48.46162314,51.53837686,430,2,13.89951473,1967,7,34.5144068,11.56442928,12.53910156,13.75365789,13.72888975,9.602700645,4.296814083,"21,069",9.8,533,2,"57,588",2262,8,,66,1,2077,8,1619,7,Baldwin,Alabama,109,2,2226,9,1910,8,30.86319,-87.73904
01005,1005,0,25278,1821.81,13.88,1511,5,1287,5,13133,11748,52.78324826,47.21675174,2874,10,13.23097946,1677,6,36.01141433,12.86523854,12.35480889,13.17471163,12.36284715,9.018930107,4.212049355,"6,788",30.9,3039,10,"34,382",124,1,,10,0,1204,5,1,1,Barbour,Alabama,18,0,1431,6,1,1,31.85209,-85.42935
01007,1007,1,22859,1415.86,16.14,1432,5,1437,5,11921,10479,53.21875,46.78125,2908,10,11.19642857,851,3,36.07589286,13.89732143,13.5625,13.90625,11.36160714,7.691964286,3.504464286,"4,400",21.8,2696,9,"46,064",1033,4,,13,0,1369,6,1,1,Bibb,Alabama,26,0,1643,7,1,1,32.91192,-87.26985
01009,1009,2,45030,1311.39,34.34,2051,7,2122,7,28500,29340,49.27385892,50.72614108,1070,4,12.56224066,1428,5,37.01071923,11.90179806,12.92185339,13.5615491,12.04183956,8.525242047,4.036998617,"7,527",13.2,1328,5,"50,412",1542,5,,12,0,1319,6,1,1,Blount,Alabama,20,0,1487,6,1,1,33.90169,-86.51787
01011,1011,0,10341,1835.66,5.63,738,3,640,3,5527,4611,54.51765634,45.48234366,2985,10,11.04754389,801,3,36.72321957,14.26316828,12.56658118,13.37541921,12.02406786,6.934306569,4.113237325,"3,610",42.5,3101,10,"29,267",24,1,,4,0,662,3,1,1,Bullock,Alabama,9,0,1045,4,1,1,32.1779,-85.93363
01013,1013,0,19770,1979.32,9.99,1290,5,1014,4,9165,10515,46.57012195,53.42987805,29,1,13.98882114,2002,7,36.06707317,11.875,11.77845528,12.65752033,13.63313008,8.43495935,5.553861789,"4,731",24.5,2866,10,"37,365",258,1,,6,0,888,4,1,1,Butler,Alabama,13,0,1242,5,1,1,31.86642,-86.85983
01015,1015,1,111533,1095.35,101.82,2552,9,2663,9,54914,59363,48.05341407,51.94658593,223,1,11.7941493,1079,4,37.83876021,12.13280013,12.01204092,13.41039754,12.8118519,7.857224113,3.936925191,"21,719",19.5,2465,8,"45,400",965,4,,57,0,2037,8,1,1,Calhoun,Alabama,66,2,2053,8,1910,8,33.65146,-85.8788
01017,1017,1,35074,1130.1,31.04,1802,6,2044,7,16093,17522,47.87446081,52.12553919,178,1,13.35415737,1732,6,35.87981556,11.10813625,12.13148892,14.16331995,13.36308196,8.84129109,4.51286628,"6,181",18.7,2371,8,"39,917",456,2,,184,8,2340,9,2383,10,Chambers,Alabama,240,11,2424,9,2451,10,32.75379,-85.18444
01019,1019,2,28103,1296.41,21.68,1618,6,1728,6,12896,13136,49.53902889,50.46097111,1396,5,15.81899201,2538,9,32.21803934,9.618930547,12.3079287,14.87784266,15.15826675,10.89044253,4.928549478,"4,180",16.3,2015,7,"42,132",626,3,,7,0,1000,4,1,1,Cherokee,Alabama,12,0,1188,5,1,1,34.24059,-85.60697
01021,1021,1,35064,1271.42,27.58,1800,6,1942,7,21668,22485,49.07480805,50.92519195,866,3,11.18383802,845,3,38.58401468,11.85196929,12.80773673,13.43510067,12.13734061,7.551015786,3.632822232,"7,542",17.3,2173,7,"47,547",1211,4,,30,0,1790,7,1,1,Chilton,Alabama,39,0,1833,7,1,1,32.80704,-86.67285
01023,1023,1,12712,2168.06,5.86,899,3,661,3,6070,6771,47.2704618,52.7295382,79,1,16.26041585,2616,9,32.82454637,10.03815902,11.51000701,15.16237053,14.20450121,10.67673857,5.583677284,"2,806",22.1,2716,9,"39,907",455,2,,9,0,1147,5,1,1,Choctaw,Alabama,14,0,1289,5,1,1,32.10204,-88.25861
01025,1025,1,25689,3099.97,8.29,1525,5,867,3,11328,12592,47.35785953,52.64214047,93,1,14.28511706,2105,7,36.20401338,10.68979933,12.00250836,14.29347826,12.52508361,9.280936455,5.004180602,"5,381",22.8,2760,9,"40,741",518,2,,15,0,1460,6,1,1,Clarke,Alabama,24,0,1604,6,1,1,31.78537,-87.64954
01027,1027,1,12391,1198.63,10.34,873,3,1043,4,6492,6783,48.9039548,51.0960452,722,3,14.30508475,2114,7,34.10169492,10.96045198,12.08286252,14.99811676,13.55178908,9.145009416,5.16007533,"2,285",17.6,2219,8,"39,201",393,2,,12,0,1319,6,1,1,Clay,Alabama,17,0,1397,6,1,1,33.16334,-86.15567
01029,1029,1,14500,1096.82,13.22,1009,4,1248,5,7421,7566,49.51624741,50.48375259,1354,5,13.39160606,1749,6,36.1713485,11.10962834,12.87782745,14.0988857,12.35070394,9.061186362,4.330419697,"2,356",16,1956,7,"46,495",1082,4,,12,0,1319,6,1,1,Cleburne,Alabama,12,0,1188,5,1,1,33.78757,-85.46555
01031,1031,3,54456,1815.66,29.99,2196,8,2014,7,25521,26388,49.1648847,50.8351153,951,4,11.67812903,1025,4,38.03771986,12.68758789,13.28478684,12.83399796,11.47777842,7.634514246,4.043614787,"7,053",13.8,1462,5,"55,122",2043,7,,20,0,1599,7,1,1,Coffee,Alabama,56,0,1996,8,1,1,31.60246,-85.6815
01033,1033,2,52958,1404.59,37.7,2180,8,2190,8,26259,28503,47.951134,52.048866,199,1,13.6901501,1861,6,35.38402542,11.73076221,12.17267448,13.71023703,13.31215076,8.851028085,4.839122019,"7,459",13.8,1462,5,"49,055",1398,5,,8,1,1074,5,1619,7,Colbert,Alabama,15,1,1325,5,1519,6,34.73885,-88.01897
01035,1035,0,12519,1915.41,6.54,883,3,717,3,5881,6396,47.90258206,52.09741794,185,1,16.21731693,2604,9,34.2999104,10.26309359,10.87399202,14.2868779,14.05880916,10.65406858,5.563248351,"2,979",24.4,2861,10,"32,613",64,1,,3,0,483,2,1,1,Conecuh,Alabama,10,0,1096,5,1,1,31.47366,-86.94931
01037,1037,0,11075,1715.12,6.46,783,3,709,3,5399,5316,50.38730751,49.61269249,2216,8,15.82827811,2543,9,29.08072795,9.594027065,12.86980868,16.33224452,16.29491367,10.61129258,5.216985534,"1,973",18.9,2400,8,"42,423",651,3,,11,0,1268,5,1,1,Coosa,Alabama,22,1,1548,6,1519,6,33.08977,-86.06138
01039,1039,1,38464,3128.18,12.3,1901,7,1186,4,17896,19090,48.38587574,51.61412426,383,2,14.9083437,2299,8,35.20791651,11.06905316,11.29616612,13.899854,13.61866652,9.484669875,5.423673823,"7,239",19.9,2511,9,"40,203",475,2,,11,0,1268,5,1,1,Covington,Alabama,21,1,1518,6,1519,6,31.49916,-86.38884
01041,1041,1,13390,1421.34,9.42,940,4,964,4,6674,7150,48.27835648,51.72164352,326,2,12.8978588,1547,5,36.85619213,11.26302083,11.9212963,13.83825231,13.22337963,8.543113426,4.35474537,"2,661",19.5,2465,8,"39,057",382,2,,2,0,291,2,1,1,Crenshaw,Alabama,6,0,808,3,1,1,31.58357,-86.29694
01043,1043,2,80685,1934.04,41.72,2412,8,2261,8,41245,42197,49.42954387,50.57045613,1251,5,12.67227535,1469,5,37.05687783,11.89568802,12.38584885,13.46324393,12.52606601,8.653915294,4.018360058,"11,925",14.5,1628,6,"45,796",1007,4,,31,1,1807,7,1619,7,Cullman,Alabama,42,0,1867,7,1,1,34.29851,-86.63523
01045,1045,2,41368,986.38,41.94,1963,7,2264,8,24023,24933,49.070594,50.929406,863,3,11.57570063,995,4,39.45788055,12.89321023,11.61859629,12.70937168,11.74524062,7.664024839,3.911675791,"7,743",16.2,1999,7,"45,309",953,4,,6,0,888,4,1,1,Dale,Alabama,17,0,1397,6,1,1,31.25281,-85.73273
01047,1047,0,41575,2931.3,14.18,1968,7,1312,5,17685,20625,46.16288175,53.83711825,18,1,12.06473506,1197,4,38.8018794,11.21900287,10.8431219,13.7274863,13.34377447,7.98486035,4.079874706,"11,841",31.4,3044,10,"34,035",111,1,,10,0,1204,5,1,1,Dallas,Alabama,22,2,1548,6,1910,8,32.47679,-87.05709
01049,1049,1,62688,1663.7,37.68,2274,8,2189,8,35428,35957,49.62947398,50.37052602,1499,5,11.61588569,1003,4,38.57673181,11.51362331,13.08958465,13.16382994,12.04034461,7.878405828,3.737479863,"14,975",21.3,2651,9,"39,491",418,2,,21,0,1621,7,1,1,DeKalb,Alabama,40,2,1846,7,1910,8,34.30187,-86.03995
01051,1051,2,87170,1720.01,50.68,2444,8,2363,8,39585,42302,48.34100651,51.65899349,364,2,10.12004348,528,2,38.02435063,13.44169404,13.43680926,13.67982708,11.29727551,7.031641164,3.088402311,"8,559",11.2,846,3,"60,367",2457,8,,30,0,1790,7,1,1,Elmore,Alabama,58,1,2007,8,1519,6,32.48819,-86.31931
